,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
123,1977Q4,61.96666666666667,-0.1,0.86800000000000000000,6.513333333333333,2164.27,77.21,8.103333333333333,6.666666666666666,93.94777782539683,14.85
124,1978Q1,63.03333333333333,-0.0666666666666666,1.0365573770491803,6.756666666666667,2202.76,79.57,8.450000000000001,6.333333333333334,89.35161270967741,14.85
125,1978Q2,64.46666666666667,-0.29,0.88349206349206349206,7.283333333333334,2331.633,82.76,8.67,6.0,96.028749921875,14.85
126,1978Q3,65.96666666666667,-0.5,0.32365079365079365079,8.1,2395.053,85.18,8.753333333333332,6.033333333333333,101.76492092063492,14.85
127,1978Q4,67.5,-0.5333333333333333,-0.73557377049180327869,9.583333333333334,2476.949,87.48,9.026666666666666,5.9,97.20460247619047,14.85
128,1979Q1,69.2,-0.6233333333333334,-0.88983870967741935484,10.073333333333332,2526.61,91.41,9.293333333333333,5.866666666666666,99.40222261904762,15.516666666666666
129,1979Q2,71.39999999999999,-0.8166666666666668,-1.0683870967741935,10.18,2591.247,94.49,9.39,5.7,101.13666657142858,17.683333333333334
130,1979Q3,73.7,-1.3033333333333337,-1.8106349206349206,10.946666666666667,2667.565,96.48,9.29,5.866666666666666,106.18206325396825,25.583333333333332
131,1979Q4,76.03333333333335,-1.8033333333333337,-2.9380327868852459,13.576666666666666,2723.883,98.22,10.543333333333335,5.966666666666667,105.239687171875,30.833333333333332
132,1980Q1,79.03333333333333,-1.8033333333333337,-2.7675806451612903,15.046666666666667,2789.842,100.0,12.143333333333333,6.3,110.22682565079364,35.833333333333336
133,1980Q2,81.7,-3.0766666666666667,-2.2315873015873016,12.686666666666667,2797.352,101.66,11.203333333333333,7.333333333333333,108.40253982539683,39.5
134,1980Q3,83.23333333333333,-0.49,0.88421875000000000000,9.836666666666666,2856.483,104.46,11.576666666666668,7.666666666666667,123.226561875,37.833333333333336
135,1980Q4,85.56666666666666,-2.5966666666666667,-3.2437704918032787,15.853333333333333,2985.557,104.57,12.83,7.4,132.9128565079365,36.333333333333336
